;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
13722;Sports Collection;Nintendo DS;2010;Ubisoft Pune;0.08;0.06;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;sports collection
13723;Sports Party;Switch;2018;Magic Pockets;0.17;0.06;0.1;0.0;0.01;8th Gen;Hybrid;Nintendo;sports party
13724;Spot Goes to Hollywood;PlayStation;1996;Eurocom Entertainment Software;0.07;0.04;0.03;0.0;0.0;5th Gen;Home Console;Sony;spot goes to hollywood
13725;Sprint Cars: Road to Knoxville;PlayStation 2;2006;Big Ant Studios;0.07;0.03;0.03;0.0;0.01;6th Gen;Home Console;Sony;sprint cars road to knoxville
13727;Spy Fiction;PlayStation 2;2004;Access Games;0.05;0.02;0.02;0.0;0.01;6th Gen;Home Console;Sony;spy fiction
13730;Spy Hunter;GameCube;2002;Point of View;0.21;0.16;0.04;0.0;0.01;6th Gen;Home Console;Nintendo;spy hunter
13731;Spy Hunter;PlayStation 2;2001;Paradigm Entertainment;1.67;1.13;0.32;0.0;0.22;6th Gen;Home Console;Sony;spy hunter
13732;Spy Hunter;Xbox;2002;Point of View;0.33;0.25;0.07;0.0;0.01;6th Gen;Home Console;Microsoft;spy hunter
13733;Spy Hunter 2;PlayStation 2;2003;Angel Studios;0.49;0.24;0.19;0.0;0.06;6th Gen;Home Console;Sony;spy hunter 2
13734;Spy Hunter 2;Xbox;2003;Angel Studios;0.13;0.1;0.03;0.0;0.0;6th Gen;Home Console;Microsoft;spy hunter 2
13735;Spy Hunter: Nowhere To Run;PlayStation 2;2006;Terminal Reality;0.02;0.01;0.01;0.0;0.0;6th Gen;Home Console;Sony;spy hunter nowhere to run
13737;Spy vs Spy;Xbox;2005;Vicious Cycle;0.1;0.08;0.02;0.0;0.0;6th Gen;Home Console;Microsoft;spy vs spy
13738;Spyborgs;Wii;2009;Bionic Games;0.11;0.09;0.01;0.0;0.01;7th Gen;Home Console;Nintendo;spyborgs
13739;Spyro 2: Ripto's Rage!;PlayStation;1999;Insomniac Games;3.53;2.14;1.21;0.01;0.17;5th Gen;Home Console;Sony;spyro 2 riptos rage!
13740;Spyro Reignited Trilogy;PlayStation 4;2018;Toys for Bob;2.17;0.75;1.07;0.0;0.35;8th Gen;Home Console;Sony;spyro reignited trilogy
13741;Spyro Reignited Trilogy;Xbox One;2018;Toys for Bob;0.66;0.36;0.24;0.0;0.06;8th Gen;Home Console;Microsoft;spyro reignited trilogy
13742;Spyro the Dragon;PlayStation;1998;Insomniac Games;5.0;3.36;1.36;0.07;0.21;5th Gen;Home Console;Sony;spyro the dragon
13743;Spyro: A Hero's Tail;GameCube;2004;Eurocom Entertainment Software;0.29;0.22;0.06;0.0;0.01;6th Gen;Home Console;Nintendo;spyro a heros tail
13744;Spyro: A Hero's Tail;PlayStation 2;2004;Eurocom Entertainment Software;0.65;0.32;0.25;0.0;0.08;6th Gen;Home Console;Sony;spyro a heros tail
13745;Spyro: A Hero's Tail;Xbox;2004;Eurocom Entertainment Software;0.15;0.11;0.03;0.0;0.01;6th Gen;Home Console;Microsoft;spyro a heros tail
13746;Spyro: Enter the Dragonfly;GameCube;2002;Equinoxe;0.71;0.55;0.14;0.0;0.02;6th Gen;Home Console;Nintendo;spyro enter the dragonfly
13747;Spyro: Enter the Dragonfly;PlayStation 2;2002;Check Six Games;1.97;0.74;0.95;0.0;0.28;6th Gen;Home Console;Sony;spyro enter the dragonfly
13748;Spyro: Shadow Legacy;Nintendo DS;2005;Amaze Entertainment;0.16;0.14;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;spyro shadow legacy
13749;Spyro: Year of the Dragon;PlayStation;2000;Insomniac Games;3.7;1.93;1.58;0.0;0.19;5th Gen;Home Console;Sony;spyro year of the dragon
13752;Squinkies;Nintendo DS;2011;Human Soft, Inc.;0.3;0.26;0.02;0.0;0.02;7th Gen;Handheld;Nintendo;squinkies
13755;Stacked with Daniel Negreanu;PlayStation 2;2006;5000ft;0.08;0.04;0.03;0.0;0.01;6th Gen;Home Console;Sony;stacked with daniel negreanu
13757;Stacked with Daniel Negreanu;Xbox;2006;5000ft;0.03;0.02;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;stacked with daniel negreanu
13758;Stake: Fortune Fighters;Xbox;2003;Gameness Art Software;0.03;0.02;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;stake fortune fighters
13760;Star Fighter;PlayStation;1996;Krisalis Software;0.06;0.04;0.02;0.0;0.0;5th Gen;Home Console;Sony;star fighter
13761;Star Fox 64;Nintendo 64;1997;Nintendo EAD;4.04;2.78;0.58;0.64;0.04;5th Gen;Home Console;Nintendo;star fox 64
13762;Star Fox 64 3D;Nintendo 3DS;2011;Nintendo EAD;0.95;0.48;0.27;0.13;0.07;8th Gen;Handheld;Nintendo;star fox 64 3d
13763;Star Fox Adventures;GameCube;2002;Rare Ltd.;1.88;0.96;0.53;0.3;0.09;6th Gen;Home Console;Nintendo;star fox adventures
13764;Star Fox Command;Nintendo DS;2006;Nintendo EAD / Q-Games;0.53;0.38;0.01;0.1;0.04;7th Gen;Handheld;Nintendo;star fox command
13766;Star Fox: Assault;GameCube;2005;Namco;1.08;0.68;0.18;0.19;0.03;6th Gen;Home Console;Nintendo;star fox assault
13767;Star Fox: Zero;Wii U;2016;Nintendo EPD;0.44;0.2;0.12;0.09;0.03;8th Gen;Home Console;Nintendo;star fox zero
13768;Star Gladiator Episode: I Final Crusade;PlayStation;1996;Capcom;0.29;0.07;0.05;0.15;0.02;5th Gen;Home Console;Sony;star gladiator episode i final crusade
13770;Star Ocean 5: Integrity and Faithlessness;PlayStation 4;2016;tri-Ace;0.44;0.1;0.13;0.16;0.05;8th Gen;Home Console;Sony;star ocean 5 integrity and faithlessness
13771;Star Ocean: First Departure;PlayStation Portable;2008;TOSE Software;0.65;0.2;0.14;0.22;0.09;6th Gen;Handheld;Sony;star ocean first departure
13772;Star Ocean: Second Evolution;PlayStation Portable;2009;TOSE Software;0.34;0.14;0.02;0.16;0.02;6th Gen;Handheld;Sony;star ocean second evolution
13773;Star Ocean: The Last Hope;Xbox 360;2009;tri-Ace;0.79;0.32;0.2;0.21;0.06;7th Gen;Home Console;Microsoft;star ocean the last hope
13774;Star Ocean: The Last Hope International;PlayStation 3;2010;tri-Ace;0.72;0.28;0.15;0.22;0.07;7th Gen;Home Console;Sony;star ocean the last hope international
13775;Star Ocean: The Second Story;PlayStation;1998;;1.1;0.26;0.1;0.72;0.02;5th Gen;Home Console;Sony;star ocean the second story
13776;Star Ocean: Till The End of Time;PlayStation 2;2003;;1.71;0.8;0.21;0.55;0.15;6th Gen;Home Console;Sony;star ocean till the end of time
13777;Star Soldier: Vanishing Earth;Nintendo 64;1998;Hudson Soft;0.06;0.05;0.01;0.0;0.0;5th Gen;Home Console;Nintendo;star soldier vanishing earth
