;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
9393;Warriors: Legends of Troy;Xbox 360;2011;Tecmo Koei Canada;0.05;0.0;0.04;0.01;0.0;7th Gen;Home Console;Microsoft;warriors legends of troy
9394;Warriors of Might and Magic;PlayStation;2001;3DO;0.13;0.07;0.05;0.0;0.01;5th Gen;Home Console;Sony;warriors of might and magic
9395;Warriors of Might and Magic;PlayStation 2;2001;3DO;0.18;0.09;0.07;0.0;0.02;6th Gen;Home Console;Sony;warriors of might and magic
9396;Warriors Orochi;PlayStation 2;2007;Omega Force;0.87;0.11;0.09;0.64;0.03;6th Gen;Home Console;Sony;warriors orochi
9397;Warriors Orochi;Xbox 360;2007;Omega Force;0.2;0.17;0.01;0.0;0.02;7th Gen;Home Console;Microsoft;warriors orochi
9398;Warriors Orochi 2;PlayStation 2;2008;Omega Force;0.13;0.06;0.05;0.0;0.02;6th Gen;Home Console;Sony;warriors orochi 2
9399;Warriors Orochi 3;PlayStation 3;2012;Omega Force;0.62;0.0;0.04;0.57;0.01;7th Gen;Home Console;Sony;warriors orochi 3
9400;Warriors Orochi 3;PlayStation 4;2014;Omega Force;0.15;0.04;0.05;0.04;0.02;8th Gen;Home Console;Sony;warriors orochi 3
9401;Warriors Orochi 3;Xbox 360;2012;Omega Force;0.16;0.09;0.03;0.03;0.01;7th Gen;Home Console;Microsoft;warriors orochi 3
9402;Warriors Orochi 3;Xbox One;2014;Omega Force;0.04;0.01;0.03;0.0;0.0;8th Gen;Home Console;Microsoft;warriors orochi 3
9403;Warriors Orochi 3 Hyper;Wii U;2012;Koei;0.1;0.04;0.03;0.02;0.01;8th Gen;Home Console;Nintendo;warriors orochi 3 hyper
9404;Warship Gunner 2;PlayStation 2;2006;Micro Cabin;0.02;0.01;0.01;0.0;0.0;6th Gen;Home Console;Sony;warship gunner 2
9405;Warzone 2100;PlayStation;1999;Pumpkin Studios;5.01;2.79;1.89;0.0;0.33;5th Gen;Home Console;Sony;warzone 2100
9406;Wasteland 2;Xbox One;2015;InXile Entertainment;0.07;0.05;0.01;0.0;0.01;8th Gen;Home Console;Microsoft;wasteland 2
9407;Watch Dogs;PlayStation 3;2014;Ubisoft Montreal;1.83;0.56;0.89;0.1;0.28;7th Gen;Home Console;Sony;watch dogs
9408;Watch Dogs;PlayStation 4;2014;Ubisoft Montreal;4.32;1.4;2.13;0.11;0.68;8th Gen;Home Console;Sony;watch dogs
9409;Watch Dogs;Wii U;2014;Ubisoft Montreal;0.13;0.07;0.05;0.0;0.01;8th Gen;Home Console;Nintendo;watch dogs
9410;Watch Dogs;Xbox 360;2014;Ubisoft Montreal;1.29;0.73;0.44;0.01;0.11;7th Gen;Home Console;Microsoft;watch dogs
9411;Watch Dogs;Xbox One;2014;Ubisoft Montreal;1.65;0.91;0.59;0.0;0.15;8th Gen;Home Console;Microsoft;watch dogs
9412;Watch Dogs 2;PlayStation 4;2016;Ubisoft;3.36;0.98;1.74;0.12;0.52;8th Gen;Home Console;Sony;watch dogs 2
9413;Watch Dogs 2;Xbox One;2016;Ubisoft;1.36;0.71;0.53;0.0;0.12;8th Gen;Home Console;Microsoft;watch dogs 2
9414;Watchmen: The End is Nigh - The Complete Experience;PlayStation 3;2009;Deadline Games;0.16;0.08;0.06;0.0;0.02;7th Gen;Home Console;Sony;watchmen the end is nigh the complete experience
9415;Water Sports;Wii;2009;FrontLine Studios;0.1;0.05;0.04;0.0;0.01;7th Gen;Home Console;Nintendo;water sports
9416;Wave Race 64;Nintendo 64;1996;Nintendo EAD;2.94;1.98;0.58;0.34;0.04;5th Gen;Home Console;Nintendo;wave race 64
9417;Wave Race: Blue Storm;GameCube;2001;Nintendo Software Technology Corporation;0.61;0.4;0.1;0.09;0.02;6th Gen;Home Console;Nintendo;wave race blue storm
9418;Wave Rally;PlayStation 2;2001;Opus Studio;0.26;0.13;0.1;0.0;0.03;6th Gen;Home Console;Sony;wave rally
9419;Way of the Samurai;PlayStation 2;2002;Acquire;0.51;0.13;0.1;0.25;0.03;6th Gen;Home Console;Sony;way of the samurai
9420;Way of the Samurai 2;PlayStation 2;2004;Acquire;0.33;0.05;0.04;0.23;0.01;6th Gen;Home Console;Sony;way of the samurai 2
9421;Way of the Samurai 3;PlayStation 3;2009;Acquire;0.52;0.18;0.08;0.22;0.04;7th Gen;Home Console;Sony;way of the samurai 3
9422;Way of the Samurai 3;Xbox 360;2009;Acquire;0.21;0.12;0.05;0.02;0.02;7th Gen;Home Console;Microsoft;way of the samurai 3
