;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
15807;Tornado Outbreak;Xbox 360;2009;Loose Cannon Studios;0.08;0.07;0.0;0.0;0.01;7th Gen;Home Console;Microsoft;tornado outbreak
15808;Toro to Morimori;PlayStation 3;2009;SCEI;0.01;0.0;0.0;0.01;0.0;7th Gen;Home Console;Sony;toro to morimori
15809;Toshochu: Run for Money;Nintendo 3DS;2012;;0.62;0.0;0.0;0.62;0.0;8th Gen;Handheld;Nintendo;toshochu run for money
15810;Total Immersion Racing;PlayStation 2;2002;Razorworks Studios;0.1;0.05;0.04;0.0;0.01;6th Gen;Home Console;Sony;total immersion racing
15811;Total Immersion Racing;Xbox;2002;Razorworks Studios;0.03;0.02;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;total immersion racing
15812;Total Overdose: A Gunslinger's Tale in Mexico;PlayStation 2;2005;Deadline Games;0.09;0.04;0.04;0.0;0.01;6th Gen;Home Console;Sony;total overdose a gunslingers tale in mexico
15813;Total Overdose: A Gunslinger's Tale in Mexico;Xbox;2005;Deadline Games;0.03;0.02;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;total overdose a gunslingers tale in mexico
15814;Totaled!;Xbox;2002;Rage Software;0.07;0.05;0.02;0.0;0.0;6th Gen;Home Console;Microsoft;totaled!
15815;Totally Spies! 2: Undercover;Nintendo DS;2006;Mistic Software;0.02;0.01;0.01;0.0;0.0;7th Gen;Handheld;Nintendo;totally spies! 2 undercover
15816;Totally Spies! Totally Party;PlayStation 2;2009;Mad Monkey Studio;0.02;0.01;0.01;0.0;0.0;6th Gen;Home Console;Sony;totally spies! totally party
15817;Totally Spies! Totally Party;Wii;2009;OUAT Entertainment;0.11;0.09;0.01;0.0;0.01;7th Gen;Home Console;Nintendo;totally spies! totally party
15818;Tottadoo! Yoiko no Mujintou Seikatsu;Nintendo DS;2008;Bandai Namco Games;0.19;0.0;0.0;0.19;0.0;7th Gen;Handheld;Nintendo;tottadoo! yoiko no mujintou seikatsu
15819;Touch 'N' Play Collection;Nintendo DS;2011;O-Games;0.04;0.03;0.01;0.0;0.0;7th Gen;Handheld;Nintendo;touch n play collection
15820;Touch 'N' Play Collection;Nintendo DS;2010;;0.07;0.04;0.02;0.0;0.01;7th Gen;Handheld;Nintendo;touch n play collection
15821;Touch Darts;Nintendo DS;2008;Full Fat;0.0;0.0;0.0;0.0;0.0;7th Gen;Handheld;Nintendo;touch darts
15822;Touch Detective;Nintendo DS;2006;BeeWorks Co., Ltd.;0.1;0.06;0.03;0.0;0.01;7th Gen;Handheld;Nintendo;touch detective
15823;Touch Detective (JP sales);Nintendo DS;2006;BeeWorks Co., Ltd.;0.02;0.0;0.0;0.02;0.0;7th Gen;Handheld;Nintendo;touch detective (jp sales)
15824;Touch Detective 2 1/2;Nintendo DS;2007;BeeWorks Co., Ltd.;0.11;0.09;0.0;0.01;0.01;7th Gen;Handheld;Nintendo;touch detective 2 1/2
15825;Touch Detective 3: Does Funghi Dream of Bananas?;Nintendo 3DS;2014;Success;0.01;0.0;0.0;0.01;0.0;8th Gen;Handheld;Nintendo;touch detective 3 does funghi dream of bananas?
15826;Touch Detective Funghi Rhythm;Nintendo 3DS;2014;Success;0.01;0.0;0.0;0.01;0.0;8th Gen;Handheld;Nintendo;touch detective funghi rhythm
15827;Touch Detective: Nameko Shigeru;Nintendo 3DS;2013;Success;0.07;0.0;0.0;0.07;0.0;8th Gen;Handheld;Nintendo;touch detective nameko shigeru
15828;Touch Mechanic;Nintendo DS;2009;Kando Games;0.09;0.08;0.0;0.0;0.01;7th Gen;Handheld;Nintendo;touch mechanic
15829;Touch Mechanic;Nintendo DS;2008;;0.1;0.09;0.0;0.0;0.01;7th Gen;Handheld;Nintendo;touch mechanic
15830;Touch My Katamari;PlayStation Vita;2012;Namco Bandai Games;0.14;0.07;0.04;0.0;0.03;8th Gen;Handheld;Sony;touch my katamari
15831;Touch My Katamari;PlayStation Vita;2012;Namco Bandai;0.02;0.01;0.0;0.01;0.0;8th Gen;Handheld;Sony;touch my katamari
15832;Touch My Katamari;PlayStation Vita;2011;;0.14;0.08;0.04;0.0;0.02;8th Gen;Handheld;Sony;touch my katamari
15833;Touch Shot! Love Application;PlayStation 3;2012;Tamsoft;0.03;0.0;0.0;0.03;0.0;7th Gen;Home Console;Sony;touch shot! love application
15834;Touch the Dead;Nintendo DS;2007;Dream On Studio;0.22;0.2;0.0;0.0;0.02;7th Gen;Handheld;Nintendo;touch the dead
15835;TouchMaster;Nintendo DS;2007;Midway Studios San Diego;1.99;0.48;1.27;0.0;0.24;7th Gen;Handheld;Nintendo;touchmaster
15836;TouchMaster 2;Nintendo DS;2008;Midway Studios San Diego;0.89;0.3;0.49;0.0;0.1;7th Gen;Handheld;Nintendo;touchmaster 2
15837;TouchMaster 3;Nintendo DS;2009;Midway Studios San Diego;0.44;0.29;0.11;0.0;0.04;7th Gen;Handheld;Nintendo;touchmaster 3
15838;TouchMaster 3(Others sales);Nintendo DS;2009;Midway;0.26;0.0;0.24;0.0;0.02;7th Gen;Handheld;Nintendo;touchmaster 3(others sales)
15839;TouchMaster: Connect;Nintendo DS;2010;DoubleTap Games;0.29;0.1;0.16;0.0;0.03;7th Gen;Handheld;Nintendo;touchmaster connect
15840;Toudou Ryuunosuke Tantei Nikki: Aen no Koufune;Nintendo DS;2009;fonfun;0.0;0.0;0.0;0.0;0.0;7th Gen;Handheld;Nintendo;toudou ryuunosuke tantei nikki aen no koufune
15841;Toudou Ryuunosuke Tantei Nikki: Kohakuiro no Yuigon;Nintendo DS;2008;fonfun;0.0;0.0;0.0;0.0;0.0;7th Gen;Handheld;Nintendo;toudou ryuunosuke tantei nikki kohakuiro no yuigon
15842;Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable;PlayStation Portable;2005;Sega;0.3;0.0;0.0;0.3;0.0;6th Gen;Handheld;Sony;touhoku daigaku mirai kagaku gijutsu kyoudou kenkyuu center kawashima ryuuta kyouju kanshu nou ryoku trainer portable
15843;Touhou Genso Rondo: Bullet Ballet;PlayStation 4;2016;CUBETYPE;0.07;0.06;0.0;0.0;0.01;8th Gen;Home Console;Sony;touhou genso rondo bullet ballet
15844;Touhou Genso Wanderer;PlayStation 4;2017;AQUA STYLE;0.05;0.04;0.0;0.0;0.01;8th Gen;Home Console;Sony;touhou genso wanderer
15845;Touhou Genso Wanderer Reloaded;PlayStation 4;2018;AQUA STYLE;0.01;0.01;0.0;0.0;0.0;8th Gen;Home Console;Sony;touhou genso wanderer reloaded
